epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,78.7266,0.58035,1.7297,0.18563,0.49433,0.92036,0.955,0.73333,0.76815,0.64373,0.66338,0.33333,0.33167,0.07027,0.48108,1.02188,0.10164,0.46453,0.85826,0.00103288,0.00103288,0.00103288
30,81.2978,0.52042,1.81728,0.20018,0.45583,0.89979,0.80492,0.76648,0.75123,0.63101,0.02082,0.02564,0.00167,0.00017,0.46676,1.66036,0.09549,0.40986,0.85965,0.00101873,0.00101873,0.00101873
31,83.8755,0.55012,1.62116,0.18536,0.46652,0.92268,0.68319,0.73333,0.72315,0.65932,0.6654,0.33333,0.33167,0.10447,0.42054,0.81231,0.09456,0.37875,0.83618,0.00100459,0.00100459,0.00100459
32,86.507,0.5219,1.56577,0.18768,0.45723,0.91548,0.89525,0.76629,0.78364,0.64492,0.43553,0.10256,0.0429,0.00454,0.41554,1.05188,0.0978,0.36313,0.82397,0.00099044,0.00099044,0.00099044
33,89.0617,0.52096,1.63291,0.19775,0.46703,0.91571,0.96573,0.7661,0.78814,0.65229,0.40999,0.07692,0.02167,0.00217,0.43431,1.17854,0.10046,0.37738,0.82681,0.000976293,0.000976293,0.000976293
34,91.6902,0.5338,1.60993,0.19643,0.44624,0.92065,0.96594,0.76667,0.76679,0.64849,0.66498,0.33333,0.33167,0.17382,0.46928,0.54715,0.10439,0.37603,0.83456,0.000962146,0.000962146,0.000962146
35,94.6271,0.55835,1.53237,0.18962,0.46637,0.93029,0.97346,0.76667,0.76722,0.65552,0.66517,0.33333,0.33167,0.13406,0.43077,0.62187,0.10529,0.35064,0.83199,0.000947999,0.000947999,0.000947999
36,97.1068,0.55827,1.50453,0.20079,0.47316,0.95387,0.96787,0.76667,0.76951,0.6657,0.66526,0.33333,0.33167,0.17935,0.41926,0.44722,0.10964,0.32092,0.83376,0.000933851,0.000933851,0.000933851
37,99.856,0.48676,1.44102,0.19808,0.42489,0.91203,0.96751,0.76667,0.78071,0.6668,0.5886,0.25641,0.2254,0.07448,0.43178,0.77614,0.1144,0.3286,0.83318,0.000919704,0.000919704,0.000919704
38,102.533,0.50694,1.46652,0.18986,0.43796,0.90508,0.97839,0.76667,0.76167,0.65412,0.5632,0.23077,0.17782,0.03285,0.43688,0.84016,0.11511,0.32088,0.83212,0.000905557,0.000905557,0.000905557
39,105.2,0.50765,1.30834,0.1854,0.42736,0.90744,0.9783,0.79782,0.795,0.67158,0.33194,0.33333,0.33167,0.1589,0.46412,0.50534,0.12382,0.32579,0.83597,0.00089141,0.00089141,0.00089141
40,107.885,0.53953,1.4665,0.19014,0.45156,0.90067,0.96104,0.76667,0.76502,0.66211,0.66541,0.33333,0.33167,0.15407,0.47214,0.64769,0.12411,0.37186,0.83463,0.000877263,0.000877263,0.000877263
41,110.469,0.52627,1.31929,0.18746,0.4378,0.91167,0.96088,0.76667,0.7623,0.66141,0.66538,0.33333,0.33167,0.19365,0.43063,0.43684,0.12865,0.35949,0.82589,0.000863116,0.000863116,0.000863116
42,113.42,0.49439,1.37694,0.19487,0.43068,0.90191,0.97059,0.76667,0.76597,0.66565,0.66536,0.33333,0.33167,0.23206,0.4219,0.30931,0.13264,0.35754,0.82815,0.000848969,0.000848969,0.000848969
43,116.301,0.501,1.33284,0.1944,0.42788,0.92413,0.95631,0.76667,0.76099,0.6451,0.66535,0.33333,0.33167,0.23073,0.45503,0.32241,0.13096,0.36224,0.8332,0.000834822,0.000834822,0.000834822
44,118.916,0.48265,1.04109,0.18245,0.41136,0.90065,0.9667,0.76667,0.77383,0.66842,0.6654,0.33333,0.33167,0.23536,0.40693,0.29609,0.13086,0.35289,0.82096,0.000820675,0.000820675,0.000820675
